📺电视,#genre#

CCTV1 综合4K,https://www.9kds.com/cn/hls/channel1.m3u8

CCTV1 综合,https://www.9kds.com/cn/hls/channel2.m3u8

CCTV2 财经,https://www.9kds.com/cn/hls/channel3.m3u8

CCTV3 综艺4K,https://www.9kds.com/cn/hls/channel4.m3u8

CCTV3 综艺,https://www.9kds.com/cn/hls/channel5.m3u8
CCTV4 中文国际,https://www.9kds.com/cn/hls/channel6.m3u8

CCTV5 体育4K,https://www.9kds.com/cn/hls/channel7.m3u8

CCTV5 体育,https://www.9kds.com/cn/hls/channel8.m3u8

CCTV5+ 体育赛事,https://www.9kds.com/cn/hls/channel9.m3u8


CCTV-1,http://113.241.133.180:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://113.241.133.180:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://113.241.133.180:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://113.241.133.180:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://113.241.133.180:85/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,http://113.241.133.180:85/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://113.241.133.180:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,http://113.241.133.180:85/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://113.241.133.180:85/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9,http://113.241.133.180:85/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10,http://113.241.133.180:85/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11,http://113.241.133.180:85/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12,http://113.241.133.180:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://113.241.133.180:85/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14,http://113.241.133.180:85/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://113.241.133.180:85/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0


CCTV-1,http://1.69.112.16:9901/tsfile/live/0001_1.m3u8
CCTV-2,http://1.69.112.16:9901/tsfile/live/0002_1.m3u8
CCTV-3,http://1.69.112.16:9901/tsfile/live/0003_1.m3u8
CCTV-4,http://1.69.112.16:9901/tsfile/live/0004_1.m3u8
CCTV-5,http://1.69.112.16:9901/tsfile/live/0005_1.m3u8
CCTV-6,http://1.69.112.16:9901/tsfile/live/0006_1.m3u8
CCTV-7,http://1.69.112.16:9901/tsfile/live/0007_1.m3u8
CCTV-8,http://1.69.112.16:9901/tsfile/live/0008_1.m3u8
CCTV-9,http://1.69.112.16:9901/tsfile/live/0009_1.m3u8
CCTV-10,http://1.69.112.16:9901/tsfile/live/0010_1.m3u8
CCTV-11,http://1.69.112.16:9901/tsfile/live/0011_1.m3u8
CCTV-12,http://1.69.112.16:9901/tsfile/live/0012_1.m3u8
CCTV-13,http://1.69.112.16:9901/tsfile/live/1030_1.m3u8
CCTV-14,http://1.69.112.16:9901/tsfile/live/0014_1.m3u8
CCTV-15,http://1.69.112.16:9901/tsfile/live/0015_1.m3u8
CCTV-16,http://1.69.112.16:9901/tsfile/live/0016_1.m3u8
CCTV-17,http://1.69.112.16:9901/tsfile/live/0017_1.m3u8
CCTV-5+,http://1.69.112.16:9901/tsfile/live/0018_1.m3u8

CETV-1,http://1.69.112.16:9901/tsfile/live/1000_1.m3u8
CETV-2,http://1.69.112.16:9901/tsfile/live/1001_1.m3u8
CETV-4,http://1.69.112.16:9901/tsfile/live/1002_1.m3u8


CCTV-1,http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009
CCTV-2,http://38.75.136.137:98/gslb/dsdqbv/cctv2hd.m3u8?auth=test20251009
CCTV-3,http://38.75.136.137:98/gslb/dsdqbv/cctv3hd.m3u8?auth=test20251009
CCTV-4,http://38.75.136.137:98/gslb/dsdqbv/cctv4hd.m3u8?auth=test20251009
CCTV-5,http://38.75.136.137:98/gslb/dsdqbv/cctv5hd.m3u8?auth=test20251009
CCTV-5+,http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009
CCTV-6,http://38.75.136.137:98/gslb/dsdqbv/cctv6hd.m3u8?auth=test20251009
CCTV-7,http://38.75.136.137:98/gslb/dsdqbv/cctv7hd.m3u8?auth=test20251009
CCTV-8,http://38.75.136.137:98/gslb/dsdqbv/cctv8hd.m3u8?auth=test20251009
CCTV-9,http://38.75.136.137:98/gslb/dsdqbv/cctv9hd.m3u8?auth=test20251009
CCTV-10,http://38.75.136.137:98/gslb/dsdqbv/cctv10hd.m3u8?auth=test20251009
CCTV-11,http://38.75.136.137:98/gslb/dsdqbv/cctv11hd.m3u8?auth=test20251009
